Query_ID	Query
1	kennedy OR administration OR pressure OR on OR ngo OR dinh OR diem OR to OR stop OR suppressing OR the OR buddhists
2	efforts OR of OR ambassador OR henry OR cabot OR lodge OR to OR get OR viet OR nam's OR president OR diem OR to OR change OR his OR policies OR of OR political OR repression
3	number OR of OR troops OR the OR united OR states OR has OR stationed OR in OR south OR viet OR nam OR as OR compared OR with OR the OR number OR of OR troops OR it OR has OR stationed OR in OR west OR germany
4	u OR s OR policy OR toward OR the OR new OR regime OR in OR south OR viet OR nam OR which OR overthrew OR president OR diem
5	persons OR involved OR in OR the OR viet OR nam OR coup
6	ceremonial OR suicides OR committed OR by OR some OR buddhist OR monks OR in OR south OR viet OR nam OR and OR what OR they OR are OR seeking OR to OR gain OR by OR such OR acts
7	rejection OR by OR prince OR norodom OR sihanouk OR an OR asian OR neutralist OR leader OR of OR all OR further OR u OR s OR aid OR to OR his OR nation
8	u OR n OR team OR survey OR of OR public OR opinion OR in OR north OR borneo OR and OR sarawak OR on OR the OR question OR of OR joining OR the OR federation OR of OR malaysia
9	opposition OR of OR indonesia OR to OR the OR newly OR created OR malaysia
10	growing OR controversy OR in OR southeast OR asia OR over OR the OR proposed OR creation OR of OR a OR federation OR of OR malaysia
11	arrangements OR for OR indonesia OR to OR take OR over OR the OR administration OR of OR west OR irian OR which OR has OR been OR under OR united OR nations OR administration
12	controversy OR between OR indonesia OR and OR malaya OR on OR the OR proposed OR federation OR of OR malaysia OR which OR would OR unite OR five OR territories
13	precarious OR truce OR in OR laos OR which OR was OR brought OR up OR by OR britain OR before OR the OR 14 OR nations OR that OR agreed OR on OR the OR truce OR in OR geneva OR last OR year
14	maphilindo OR a OR word OR formed OR from OR parts OR of OR the OR names OR of OR three OR countries OR which OR is OR being OR used OR in OR discussions OR of OR international OR relations OR in OR the OR far OR east
15	election OR of OR park OR chung OR hee OR as OR president OR of OR south OR korea
16	efforts OR of OR the OR three OR nation OR international OR control OR commission OR for OR indo OR china OR to OR try OR to OR stop OR the OR fighting OR that OR has OR flared OR in OR laos
17	withdrawal OR by OR the OR sultanate OR of OR brunei OR from OR the OR proposed OR federation OR of OR malaysia
18	russia's OR refusal OR to OR contribute OR funds OR for OR the OR support OR of OR united OR nations OR peacekeeping OR forces
19	agreement OR by OR the OR united OR arab OR republic OR and OR saudi OR arabia OR to OR withdraw OR their OR forces OR from OR yemen OR which OR involves OR observers OR from OR the OR united OR nations OR expeditionary OR force OR being OR sent OR to OR yemen
20	the OR united OR states OR has OR warned OR it OR would OR limit OR its OR united OR nations OR payments OR to OR the OR level OR of OR its OR regular OR assessment OR if OR nations OR now OR in OR arrears OR fail OR to OR pay OR up OR what OR issues OR are OR involved OR in OR these OR nations' OR being OR in OR arrears
21	security OR council OR consideration OR of OR the OR complaints OR by OR 32 OR african OR nations OR against OR south OR africa OR and OR portugal
22	alternatives OR which OR have OR been OR offered OR if OR u OR n OR forces OR are OR withdrawn OR from OR the OR congo
23	what OR countries OR have OR newly OR joined OR the OR united OR nations
24	united OR nations OR efforts OR to OR get OR portugal OR to OR free OR its OR african OR colonies
25	u OR n OR consideration OR of OR the OR conflict OR between OR israel OR and OR its OR arab OR neighbors
26	effect OR in OR the OR u OR n OR of OR a OR majority OR comprised OR of OR underdeveloped OR nations
27	british OR proposal OR for OR new OR high OR level OR negotiations OR with OR russia OR or OR a OR four OR power OR summit OR meeting
