Query_ID	Query
1	what OR similarity OR laws OR must OR be OR obeyed OR when OR constructing OR aeroelastic OR models OR of OR heated OR high OR speed OR aircraft
2	what OR are OR the OR structural OR and OR aeroelastic OR problems OR associated OR with OR flight OR of OR high OR speed OR aircraft
3	what OR problems OR of OR heat OR conduction OR in OR composite OR slabs OR have OR been OR solved OR so OR far
4	can OR a OR criterion OR be OR developed OR to OR show OR empirically OR the OR validity OR of OR flow OR solutions OR for OR chemically OR reacting OR gas OR mixtures OR based OR on OR the OR simplifying OR assumption OR of OR instantaneous OR local OR chemical OR equilibrium
5	what OR chemical OR kinetic OR system OR is OR applicable OR to OR hypersonic OR aerodynamic OR problems
6	what OR theoretical OR and OR experimental OR guides OR do OR we OR have OR as OR to OR turbulent OR couette OR flow OR behaviour
7	is OR it OR possible OR to OR relate OR the OR available OR pressure OR distributions OR for OR an OR ogive OR forebody OR at OR zero OR angle OR of OR attack OR to OR the OR lower OR surface OR pressures OR of OR an OR equivalent OR ogive OR forebody OR at OR angle OR of OR attack
8	what OR methods OR exact OR or OR approximate OR are OR presently OR available OR for OR predicting OR body OR pressures OR at OR angle OR of OR attack
9	papers OR on OR internal OR /slip OR flow/ OR heat OR transfer OR studies
10	are OR real OR gas OR transport OR properties OR for OR air OR available OR over OR a OR wide OR range OR of OR enthalpies OR and OR densities
11	is OR it OR possible OR to OR find OR an OR analytical OR similar OR solution OR of OR the OR strong OR blast OR wave OR problem OR in OR the OR newtonian OR approximation
12	how OR can OR the OR aerodynamic OR performance OR of OR channel OR flow OR ground OR effect OR machines OR be OR calculated
13	what OR is OR the OR basic OR mechanism OR of OR the OR transonic OR aileron OR buzz
14	papers OR on OR shock OR sound OR wave OR interaction
15	material OR properties OR of OR photoelastic OR materials
16	can OR the OR transverse OR potential OR flow OR about OR a OR body OR of OR revolution OR be OR calculated OR efficiently OR by OR an OR electronic OR computer
17	can OR the OR three OR dimensional OR problem OR of OR a OR transverse OR potential OR flow OR about OR a OR body OR of OR revolution OR be OR reduced OR to OR a OR two OR dimensional OR problem
18	are OR experimental OR pressure OR distributions OR on OR bodies OR of OR revolution OR at OR angle OR of OR attack OR available
19	does OR there OR exist OR a OR good OR basic OR treatment OR of OR the OR dynamics OR of OR re OR entry OR combining OR consideration OR of OR realistic OR effects OR with OR relative OR simplicity OR of OR results
20	has OR anyone OR formally OR determined OR the OR influence OR of OR joule OR heating OR produced OR by OR the OR induced OR current OR in OR magnetohydrodynamic OR free OR convection OR flows OR under OR general OR conditions
21	why OR does OR the OR compressibility OR transformation OR fail OR to OR correlate OR the OR high OR speed OR data OR for OR helium OR and OR air
22	did OR anyone OR else OR discover OR that OR the OR turbulent OR skin OR friction OR is OR not OR over OR sensitive OR to OR the OR nature OR of OR the OR variation OR of OR the OR viscosity OR with OR temperature
23	what OR progress OR has OR been OR made OR in OR research OR on OR unsteady OR aerodynamics
24	what OR are OR the OR factors OR which OR influence OR the OR time OR required OR to OR invert OR large OR structural OR matrices
25	does OR a OR practical OR flow OR follow OR the OR theoretical OR concepts OR for OR the OR interaction OR between OR adjacent OR blade OR rows OR of OR a OR supersonic OR cascade
26	what OR is OR a OR single OR approximate OR formula OR for OR the OR displacement OR thickness OR of OR a OR laminar OR boundary OR layer OR in OR compressible OR flow OR on OR a OR flat OR plate
27	how OR is OR the OR design OR of OR ring OR or OR part OR ring OR wings OR by OR linear OR theory OR affected OR by OR thickness
28	what OR application OR has OR the OR linear OR theory OR design OR of OR curved OR wings
29	what OR is OR the OR effect OR of OR cross OR sectional OR shape OR on OR the OR flow OR over OR simple OR delta OR wings OR with OR sharp OR leading OR edges
30	papers OR on OR flow OR visualization OR on OR slender OR conical OR wings
32	to OR find OR an OR approximate OR correction OR for OR thickness OR in OR slender OR thin OR wing OR theory
33	how OR do OR interference OR free OR longitudinal OR stability OR measurements OR made OR using OR free OR flight OR models OR compare OR with OR similar OR measurements OR made OR in OR a OR low OR blockage OR wind OR tunnel
34	have OR wind OR tunnel OR interference OR effects OR been OR investigated OR on OR a OR systematic OR basis
35	are OR there OR any OR papers OR dealing OR with OR acoustic OR wave OR propagation OR in OR reacting OR gases
36	has OR anyone OR investigated OR relaxation OR effects OR on OR gaseous OR heat OR transfer OR to OR a OR suddenly OR heated OR wall
37	are OR there OR any OR theoretical OR methods OR for OR predicting OR base OR pressure
38	does OR transition OR in OR the OR hypersonic OR wake OR depend OR on OR body OR geometry OR and OR size
39	how OR can OR one OR detect OR transition OR phenomena OR in OR boundary OR layers
40	how OR can OR one OR detect OR transition OR phenomena OR in OR hypersonic OR wakes
41	has OR anyone OR investigated OR and OR developed OR a OR simple OR model OR for OR the OR vortex OR wake OR behind OR a OR cruciform OR wing
42	what OR is OR a OR criterion OR that OR the OR transonic OR flow OR around OR an OR airfoil OR with OR a OR round OR leading OR edge OR be OR validly OR analyzed OR by OR the OR linearized OR transonic OR flow OR theory
43	can OR the OR transonic OR flow OR around OR an OR arbitrary OR smooth OR thin OR airfoil OR be OR analysed OR in OR a OR simple OR approximate OR way
44	what OR are OR the OR details OR of OR the OR rigorous OR kinetic OR theory OR of OR gases OR chapman OR enskog OR theory
45	has OR anyone OR investigated OR the OR effect OR of OR surface OR mass OR transfer OR on OR hypersonic OR viscous OR interactions
46	what OR is OR the OR combined OR effect OR of OR surface OR heat OR and OR mass OR transfer OR on OR hypersonic OR flow
47	what OR are OR the OR existing OR solutions OR for OR hypersonic OR viscous OR interactions OR over OR an OR insulated OR flat OR plate
48	what OR controls OR leading OR edge OR attachment OR at OR transonic OR speeds
49	can OR the OR three OR point OR boundary OR value OR problem OR for OR the OR blasius OR equation OR be OR integrated OR numerically OR using OR suitable OR transformations OR without OR iteration OR on OR the OR boundary OR conditions
50	what OR are OR the OR effects OR of OR small OR amounts OR of OR gas OR rarefaction OR on OR the OR characteristics OR of OR the OR boundary OR layers OR on OR slender OR bodies OR of OR revolution
51	what OR is OR the OR available OR information OR pertaining OR to OR boundary OR layers OR on OR very OR slender OR bodies OR of OR revolution OR in OR continuum OR flow OR the OR ?transverse OR curvature OR effect
52	what OR is OR the OR available OR information OR pertaining OR to OR the OR effect OR of OR slight OR rarefaction OR on OR boundary OR layer OR flows OR the OR ?slip? OR effect
53	what OR investigations OR have OR been OR made OR of OR the OR flow OR field OR about OR a OR body OR moving OR through OR a OR rarefied OR partially OR ionized OR gas OR in OR the OR presence OR of OR a OR magnetic OR field
54	how OR is OR the OR heat OR transfer OR downstream OR of OR the OR mass OR transfer OR region OR effected OR by OR mass OR transfer OR at OR the OR nose OR of OR a OR blunted OR cone
55	to OR what OR extent OR can OR the OR available OR information OR for OR incompressible OR boundary OR layers OR be OR applied OR to OR problems OR involving OR compressible OR boundary OR layers
56	to OR what OR extent OR can OR readily OR available OR steady OR state OR aerodynamic OR data OR be OR utilized OR to OR predict OR lifting OR surface OR flutter OR characteristics
57	what OR are OR the OR significant OR steady OR and OR non OR steady OR flow OR characteristics OR which OR affect OR the OR flutter OR mechanism
58	is OR it OR possible OR to OR determine OR rates OR of OR forced OR convective OR heat OR transfer OR from OR heated OR cylinders OR of OR non OR circular OR cross OR section OR the OR fluid OR flow OR being OR along OR the OR generators
59	how OR much OR is OR known OR about OR boundary OR layer OR flows OR along OR non OR circular OR cylinders
60	is OR there OR any OR simple OR but OR practical OR method OR for OR numerical OR integration OR of OR the OR mixing OR problem OR i OR e OR the OR blasius OR problem OR with OR three OR point OR boundary OR conditions
61	does OR there OR exist OR a OR closed OR form OR expression OR for OR the OR local OR heat OR transfer OR around OR a OR yawed OR cylinder
62	how OR far OR around OR a OR cylinder OR and OR under OR what OR conditions OR of OR flow OR if OR any OR is OR the OR velocity OR just OR outside OR of OR the OR boundary OR layer OR a OR linear OR function OR of OR the OR distance OR around OR the OR cylinder
63	where OR can OR i OR find OR pressure OR data OR on OR surfaces OR of OR swept OR cylinders
64	can't OR the OR static OR deflection OR shapes OR be OR used OR in OR predicting OR flutter OR in OR place OR of OR vibrational OR shapes OR if OR so OR can OR we OR provide OR a OR justification OR by OR means OR of OR an OR example
65	does OR the OR boundary OR layer OR on OR a OR flat OR plate OR in OR a OR shear OR flow OR induce OR a OR pressure OR gradient
66	can OR the OR procedure OR of OR matching OR inner OR and OR outer OR solutions OR for OR a OR viscous OR flow OR problem OR be OR applied OR when OR the OR main OR stream OR is OR a OR shear OR flow
67	can OR series OR expansions OR be OR found OR for OR the OR boundary OR layer OR on OR a OR flat OR plate OR in OR a OR shear OR flow
68	what OR possible OR techniques OR are OR available OR for OR computing OR the OR injection OR distribution OR corresponding OR to OR an OR isothermal OR transpiration OR cooled OR hemisphere
69	what OR is OR known OR regarding OR asymptotic OR solutions OR to OR the OR exact OR boundary OR layer OR equations
70	previous OR solutions OR to OR the OR boundary OR layer OR similarity OR equations
71	experimental OR results OR on OR hypersonic OR viscous OR interaction
72	what OR has OR been OR done OR about OR viscous OR interactions OR in OR relatively OR low OR reynolds OR number OR flows OR particularly OR at OR high OR mach OR numbers
73	what OR role OR does OR the OR effect OR of OR chemical OR reaction OR particularly OR when OR out OR of OR equilibrium OR play OR in OR the OR similitude OR laws OR governing OR hypersonic OR flows OR over OR slender OR aerodynamic OR bodies
74	how OR significant OR is OR the OR possible OR pressure OR of OR a OR dissociated OR free OR stream OR with OR respect OR to OR the OR realization OR of OR hypersonic OR simulation OR in OR high OR enthalpy OR wind OR tunnels
75	do OR the OR discrepancies OR among OR current OR analyses OR of OR the OR vorticity OR effect OR on OR stagnation OR point OR heat OR transfer OR result OR primarily OR from OR the OR differences OR in OR the OR viscosity OR temperature OR law OR assumed
76	how OR far OR can OR one OR trust OR the OR linear OR viscosity OR temperature OR solution OR assumed OR in OR some OR of OR the OR analyses OR of OR hypersonic OR shock OR layer OR at OR low OR reynolds OR number
77	how OR close OR is OR the OR comparison OR of OR the OR shock OR layer OR theory OR with OR existing OR experiments OR in OR the OR low OR reynolds OR number OR merged OR layer OR regime
78	has OR anyone OR explained OR the OR kink OR in OR the OR surge OR line OR of OR a OR multi OR stage OR axial OR compressor
79	have OR any OR aerodynamic OR derivatives OR been OR measured OR at OR hypersonic OR mach OR numbers OR and OR comparison OR been OR made OR with OR theoretical OR work
80	are OR methods OR of OR measuring OR aerodynamic OR derivatives OR available OR which OR could OR be OR adopted OR for OR use OR in OR short OR running OR time OR facilities
81	what OR are OR wind OR tunnel OR corrections OR for OR a OR two OR dimensional OR aerofoil OR mounted OR off OR centre OR in OR a OR tunnel
82	how OR do OR kuchemann's OR and OR multhopp's OR methods OR for OR calculating OR lift OR distributions OR on OR swept OR wings OR in OR subsonic OR flow OR compare OR with OR each OR other OR and OR with OR experiment
83	what OR is OR the OR present OR state OR of OR the OR theory OR of OR quasi OR conical OR flows
84	references OR on OR the OR methods OR available OR for OR accurately OR estimating OR aerodynamic OR heat OR transfer OR to OR conical OR bodies OR for OR both OR laminar OR and OR turbulent OR flow
85	what OR parameters OR can OR seriously OR influence OR natural OR transition OR from OR laminar OR to OR turbulent OR flow OR on OR a OR model OR in OR a OR wind OR tunnel
86	can OR a OR satisfactory OR experimental OR technique OR be OR developed OR for OR measuring OR oscillatory OR derivatives OR on OR slender OR sting OR mounted OR models OR in OR supersonic OR wind OR tunnels
87	what OR effect OR has OR the OR boundary OR layer OR in OR modifying OR the OR basic OR inviscid OR flow OR behind OR the OR shock OR neglecting OR effects OR of OR leading OR edge OR and OR corner
88	how OR does OR a OR satellite OR orbit OR contract OR under OR the OR action OR of OR air OR drag OR in OR an OR atmosphere OR in OR which OR the OR scale OR height OR varies OR with OR altitude
89	how OR is OR the OR flow OR at OR transonic OR speeds OR about OR a OR delta OR wing OR different OR from OR that OR on OR a OR closely OR related OR tapered OR sweptback OR wing
90	recent OR data OR on OR shock OR induced OR boundary OR layer OR separation
91	what OR interference OR effects OR are OR likely OR at OR transonic OR speeds
92	given OR complete OR freedom OR in OR the OR design OR of OR an OR airplane OR what OR procedure OR would OR be OR used OR in OR order OR to OR minimize OR sonic OR boom OR intensity OR and OR is OR there OR a OR limit OR to OR the OR degree OR of OR minimizing OR that OR can OR be OR accomplished
93	can OR methane OR air OR combustion OR product OR be OR used OR as OR a OR hypersonic OR test OR medium OR and OR predict OR within OR experimental OR accuracies OR the OR results OR obtained OR in OR air
94	what OR is OR the OR theoretical OR heat OR transfer OR rate OR at OR the OR stagnation OR point OR of OR a OR blunt OR body
95	what OR is OR the OR theoretical OR heat OR transfer OR distribution OR around OR a OR hemisphere
96	has OR anyone OR investigated OR the OR unsteady OR lift OR distributions OR on OR finite OR wings OR in OR subsonic OR flow
97	what OR information OR is OR available OR for OR dynamic OR response OR of OR airplanes OR to OR gusts OR or OR blasts OR in OR the OR subsonic OR regime
98	will OR forward OR or OR apex OR located OR controls OR be OR effective OR at OR low OR subsonic OR speeds OR and OR how OR do OR they OR compare OR with OR conventional OR trailing OR edge OR flaps
99	given OR that OR an OR uncontrolled OR vehicle OR will OR tumble OR as OR it OR enters OR an OR atmosphere OR is OR it OR possible OR to OR predict OR when OR and OR how OR it OR will OR stop OR tumbling OR and OR its OR subsequent OR motion
100	what OR are OR the OR effects OR of OR initial OR imperfections OR on OR the OR elastic OR buckling OR of OR cylindrical OR shells OR under OR axial OR compression
101	why OR does OR the OR incremental OR theory OR and OR the OR deformation OR theory OR of OR plastic OR stress OR strain OR relationship OR differ OR greatly OR when OR applied OR to OR stability OR problems
102	basic OR dynamic OR characteristics OR of OR structures OR continuous OR over OR many OR spans
103	is OR the OR information OR on OR the OR buckling OR of OR sandwich OR sphere OR available
104	can OR the OR load OR deformation OR characteristics OR of OR a OR beam OR be OR obtained OR with OR the OR material OR being OR inelastic OR and OR a OR non OR uniform OR temperature OR being OR present
105	what OR is OR the OR effect OR of OR an OR internal OR liquid OR column OR on OR the OR breathing OR vibrations OR of OR a OR cylindrical OR shell
106	experimental OR techniques OR in OR shell OR vibration
107	in OR summarizing OR theoretical OR and OR experimental OR work OR on OR the OR behaviour OR of OR a OR typical OR aircraft OR structure OR in OR a OR noise OR environment OR is OR it OR possible OR to OR develop OR a OR design OR procedure
108	what OR data OR is OR there OR on OR the OR fatigue OR of OR structures OR under OR acoustic OR loading
109	panels OR subjected OR to OR aerodynamic OR heating
110	can OR increasing OR the OR edge OR loading OR of OR a OR plate OR beyond OR the OR critical OR value OR for OR buckling OR change OR the OR buckling OR mode
111	have OR the OR effects OR of OR an OR elastic OR edge OR restraint OR been OR considered OR in OR previous OR papers OR on OR panel OR flutter
112	has OR the OR solution OR of OR the OR clamped OR plate OR problem OR in OR the OR classical OR theory OR of OR bending OR been OR reduced OR to OR two OR successive OR membrane OR boundary OR value OR problems
113	what OR data OR exists OR on OR oscillatory OR aerodynamic OR forces OR on OR control OR surfaces OR at OR transonic OR mach OR numbers
