Query_ID	Doc_ID	Rank	Score
1	1313	1	46.0
1	131	2	44.0
1	798	3	42.0
1	1147	4	41.0
1	792	5	39.0
1	640	6	37.0
1	1144	7	36.0
1	14	8	35.0
1	262	9	35.0
1	576	10	34.0
2	1201	1	165.0
2	798	2	146.0
2	1313	3	138.0
2	329	4	123.0
2	927	5	101.0
2	89	6	97.0
2	417	7	97.0
2	792	8	97.0
2	452	9	95.0
2	499	10	95.0
3	798	1	56.0
3	329	2	51.0
3	826	3	51.0
3	131	4	50.0
3	1313	5	49.0
3	89	6	44.0
3	927	7	44.0
3	1201	8	44.0
3	225	9	42.0
3	49	10	40.0
4	1313	1	174.0
4	798	2	154.0
4	1201	3	154.0
4	329	4	134.0
4	417	5	120.0
4	1239	6	120.0
4	1040	7	115.0
4	721	8	113.0
4	89	9	112.0
4	927	10	110.0
5	1201	1	44.0
5	1313	2	40.0
5	1147	3	30.0
5	329	4	29.0
5	798	5	29.0
5	77	6	28.0
5	193	7	27.0
5	1248	8	27.0
5	94	9	26.0
5	151	10	26.0
6	798	1	60.0
6	315	2	47.0
6	1313	3	47.0
6	329	4	45.0
6	244	5	38.0
6	225	6	36.0
6	757	7	36.0
6	927	8	36.0
6	89	9	35.0
6	193	10	35.0
7	1201	1	195.0
7	1313	2	188.0
7	798	3	155.0
7	329	4	128.0
7	94	5	125.0
7	1147	6	125.0
7	1040	7	124.0
7	721	8	121.0
7	89	9	116.0
7	1239	10	114.0
8	1201	1	69.0
8	1313	2	62.0
8	433	3	59.0
8	160	4	57.0
8	927	5	57.0
8	792	6	55.0
8	947	7	53.0
8	798	8	52.0
8	1239	9	51.0
8	329	10	50.0
9	1040	1	25.0
9	662	2	24.0
9	564	3	21.0
9	798	4	19.0
9	49	5	18.0
9	344	6	15.0
9	1213	7	15.0
9	45	8	14.0
9	123	9	14.0
9	283	10	14.0
10	1313	1	94.0
10	798	2	82.0
10	329	3	79.0
10	1201	4	76.0
10	452	5	68.0
10	417	6	64.0
10	721	7	63.0
10	927	8	62.0
10	89	9	60.0
10	792	10	60.0
11	1201	1	183.0
11	1313	2	174.0
11	798	3	155.0
11	329	4	133.0
11	499	5	120.0
11	1147	6	118.0
11	89	7	117.0
11	94	8	115.0
11	1239	9	111.0
11	262	10	107.0
12	1201	1	130.0
12	1313	2	123.0
12	798	3	115.0
12	329	4	91.0
12	131	5	90.0
12	927	6	89.0
12	89	7	87.0
12	417	8	85.0
12	1239	9	85.0
12	499	10	81.0
13	1201	1	161.0
13	1313	2	130.0
13	798	3	119.0
13	417	4	93.0
13	329	5	91.0
13	89	6	88.0
13	499	7	87.0
13	1239	8	85.0
13	131	9	84.0
