Query_id	Relevant_Doc_id
1	12
1	29
1	30
1	31
1	37
1	51
1	56
1	57
1	66
1	95
1	102
1	184
1	185
1	378
1	497
1	858
1	859
1	875
1	876
1	879
1	880
3	5
3	6
3	90
3	91
3	119
3	144
3	181
3	399
5	401
5	552
5	1296
5	1297
7	20
7	56
7	57
7	58
9	21
9	22
9	550
11	27
11	28
11	262
11	263
13	64
13	265
15	462
15	463
17	106
17	196
19	32
19	67
19	164
19	639
19	715
19	716
19	717
21	16
21	271
21	413
21	414
23	200
23	201
23	544
23	593
23	597
23	601
23	634
23	687
23	698
23	700
23	704
23	705
23	749
23	899
23	900
23	901
23	902
23	903
23	917
23	919
23	1109
23	1112
23	1141
23	1197
23	1256
23	1259
23	1272
23	1289
23	1290
25	212
25	213
25	214
25	215
25	216
25	276
25	277
25	426
25	427
27	224
27	278
27	428
29	225
29	250
29	514
29	609
29	612
29	793
33	252
33	431
35	132
35	166
35	167
37	97
37	121
37	172
37	173
37	187
37	188
37	242
37	409
37	487
39	24
39	79
39	207
39	272
39	283
39	418
39	505
39	552
39	554
39	555
39	556
39	1257
41	288
41	289
41	433
43	39
43	467
43	468
43	469
43	503
43	775
45	305
45	308
45	338
45	481
45	570
45	572
45	629
45	663
45	798
45	1185
47	304
47	305
47	306
47	307
47	309
47	310
47	570
47	572
47	629
47	663
47	798
47	1185
47	1355
49	320
51	23
51	94
51	105
51	192
51	381
51	494
51	629
53	33
53	296
55	16
55	255
55	271
55	375
55	378
55	460
55	502
55	562
57	380
57	593
57	746
57	914
59	785
59	786
59	787
59	788
61	564
61	565
61	566
61	1159
63	564
63	566
63	567
65	2
65	3
65	4
65	128
65	180
65	323
65	324
65	384
65	393
65	394
65	629
65	659
65	664
65	1302
67	2
67	3
67	4
67	128
67	180
67	323
67	324
67	389
67	393
67	394
67	629
67	659
67	664
67	1302
69	62
69	458
69	570
69	977
71	101
71	569
71	571
71	572
71	655
71	1213
71	1355
73	68
73	160
73	332
73	401
73	421
73	571
73	572
73	573
73	574
73	578
73	625
73	1213
73	1252
73	1304
75	324
75	378
75	666
75	667
75	670
77	666
77	667
77	668
77	670
79	597
79	598
81	672
83	680
83	681
83	682
83	683
85	406
85	606
85	608
85	710
87	562
87	606
87	611
89	793
89	794
89	797
91	252
91	797
91	799
91	800
91	801
91	1154
93	691
95	283
97	681
97	699
97	700
97	701
97	702
97	703
97	779
99	717
99	719
99	1001
99	1379
101	817
101	818
101	819
101	820
101	824
101	825
103	826
103	828
105	848
107	725
107	728
107	729
107	911
109	12
109	606
109	860
109	861
109	980
111	15
111	391
111	392
111	627
111	658
111	864
111	914
113	265
113	746
113	748
113	749
115	51
