Query_ID	Doc_ID	Rank	Score
1	486	1	24.73394094936527
1	878	2	23.348427151067796
1	184	3	23.03918618563341
1	1268	4	21.231689592450973
1	172	5	19.99948346421657
1	51	6	19.44957119689294
1	13	7	19.188917488250382
1	1361	8	19.005405735224663
1	14	9	18.777031763724025
1	1144	10	17.783569970271657
2	12	1	40.615043732725894
2	172	2	29.681848547220124
2	14	3	27.213362348366257
2	792	4	25.914294957336978
2	51	5	25.74712876227102
2	1158	6	24.876801608955656
2	1089	7	24.531849062270187
2	36	8	23.804682950513783
2	878	9	22.977059975349537
2	429	10	22.54858058847779
3	5	1	34.049623504011755
3	181	2	28.302425236195315
3	485	3	23.79914775342528
3	542	4	23.782349939963915
3	826	5	21.80823237358213
3	251	6	21.403228786594173
3	828	7	21.264022247631456
3	350	8	20.306246818619655
3	980	9	20.28130150243857
3	425	10	19.182294308028617
4	1189	1	39.48437363429687
4	1255	2	35.868254396471386
4	185	3	35.129206256732324
4	1061	4	34.549379886627435
4	1085	5	34.061505391532776
4	574	6	33.91262084553546
4	1123	7	33.052910845911455
4	167	8	32.48509957851011
4	166	9	32.1854721480285
4	575	10	31.45863844503673
5	103	1	23.03922393443702
5	1032	2	21.16876106859288
5	1296	3	17.54183854292079
5	746	4	17.2605597414534
5	625	5	17.053217873367178
5	1295	6	16.499772238731108
5	36	7	16.28658487875483
5	28	8	16.147512465457066
5	488	9	16.12694858483301
5	1379	10	15.532956150449092
6	491	1	24.814461802291657
6	257	2	23.939513036857814
6	315	3	22.47878146506496
6	121	4	21.286966991294037
6	651	5	20.164269154359058
6	251	6	19.96041785826437
6	610	7	19.89935388316412
6	355	8	18.900133067870406
6	296	9	18.35465244039519
6	228	10	18.133726249800773
7	492	1	65.67362083719206
7	1231	2	45.59453081869394
7	122	3	42.55658980685976
7	56	4	41.462579514796474
7	1040	5	37.041668552709524
7	124	6	36.967517534768255
7	498	7	35.43374611688972
7	232	8	34.18377237165814
7	57	9	33.88070468356746
7	234	10	33.60507159359452
8	122	1	42.08338563628613
8	492	2	32.33699353255292
8	433	3	28.431206774597648
8	1231	4	27.27591859443017
8	69	5	27.04470825622418
8	232	6	25.11028694202151
8	1193	7	25.04434805548244
8	1352	8	24.80901889055741
8	988	9	24.426842997743545
8	556	10	24.186376398148123
9	45	1	23.21650264927177
9	270	2	16.40524321524617
9	102	3	16.374668009418123
9	303	4	14.699350760691782
9	489	5	13.380421393604706
9	269	6	13.183030829037323
9	398	7	12.839459576116813
9	145	8	12.78577181489206
9	120	9	12.631813318909659
9	623	10	12.507536307117256
10	493	1	33.957925536968254
10	1199	2	30.607811938599617
10	302	3	30.103775555108083
10	949	4	29.09817526206727
10	781	5	28.417764109794344
10	421	6	26.588077769076964
10	691	7	25.629488709446846
10	1010	8	25.601037172056177
10	524	9	25.438286650837554
10	328	10	24.852322642758665
11	495	1	40.27729964781262
11	667	2	32.43748070415706
11	72	3	29.566779297654705
11	110	4	29.199100476965242
11	654	5	29.143909705812007
11	472	6	28.983827753057824
11	1356	7	28.28930866146299
11	28	8	27.98521093773235
11	304	9	27.321618328227295
11	1147	10	26.77244677455687
12	543	1	28.30487629654723
12	1232	2	25.294883241395006
12	624	3	21.2083047288923
12	39	4	20.40055838756477
12	982	5	19.80500691107373
12	749	6	19.79547572285483
12	602	7	19.02079659717917
12	671	8	18.65851348214556
12	806	9	18.626622048473735
12	1221	10	18.41339695720281
13	496	1	30.210194605859826
13	903	2	22.150513427533596
13	520	3	21.567315226928677
13	38	4	19.206470595546993
13	1268	5	17.296433354156072
13	440	6	16.543567736241343
13	415	7	15.923137727340652
13	199	8	15.629991007585792
13	643	9	14.501882788946435
13	1099	10	14.43826620271459
14	64	1	22.334830421917076
14	256	2	18.831608242929782
14	1364	3	16.580285676133695
14	132	4	16.416083196018075
14	170	5	16.316748410762244
14	439	6	16.211285725370395
14	65	7	15.90186478400203
14	308	8	15.47560447764475
14	402	9	15.10949566849168
14	1228	10	15.003596872693645
15	462	1	22.045287942550722
15	463	2	18.9473936642522
15	761	3	15.593561256678644
15	1097	4	14.512396420698746
15	1117	5	14.222489287688713
15	1099	6	13.875057716849856
15	1025	7	13.763038264700363
15	817	8	13.074841205635998
15	1279	9	12.83492134253223
15	542	10	12.805894615754202
16	498	1	41.40792224938328
16	1255	2	32.165213218719046
16	1301	3	31.927529700808186
16	1259	4	29.443021246550355
16	266	5	29.24161872923745
16	1108	6	28.3286450824085
16	106	7	28.255473113633045
16	927	8	26.83493214992211
16	869	9	26.57118455627635
16	1280	10	26.271286021017097
17	266	1	33.04350546563533
17	410	2	30.723136003310543
17	1301	3	30.390061474238507
17	1255	4	30.37366295929097
17	1108	5	30.122444007629046
17	498	6	29.774857793778676
17	257	7	28.23361509025571
17	196	8	28.128424535226404
17	930	9	28.099168037236907
17	916	10	27.66611207862364
18	498	1	35.598479260899765
18	234	2	33.21560989137036
18	197	3	30.268549064788267
18	56	4	29.890874909717567
18	232	5	29.766846582446618
18	248	6	29.56389485702929
18	1114	7	29.37691441236136
18	492	8	29.005390958055848
18	1005	9	27.862023799060616
18	122	10	27.46832301920319
19	1346	1	28.571116588629277
19	1153	2	23.217743616678188
19	1295	3	22.715995603708745
19	437	4	22.659653899200787
19	152	5	21.335911830518533
19	416	6	21.003729197440588
19	125	7	20.883407831626936
19	706	8	20.69266192330355
19	826	9	20.648239434191744
19	163	10	20.183497082371034
20	500	1	33.9713485922377
20	270	2	30.746900724805226
20	450	3	28.270025161126885
20	123	4	28.016614575455264
20	456	5	25.33970154266184
20	966	6	24.94744020643714
20	300	7	24.82083251148197
20	190	8	23.89373131759843
20	458	9	23.560678077844493
20	889	10	22.9569580550024
21	502	1	39.94331424049657
21	343	2	24.674817495738743
21	68	3	24.48791470082284
21	686	4	23.560424615371243
21	302	5	23.155873078789003
21	628	6	22.762146078024937
21	1007	7	21.983875240889375
21	377	8	20.728218980416347
21	1011	9	20.577938347419163
21	1157	10	20.480089091155836
22	307	1	36.134087749473565
22	560	2	35.757053921016556
22	125	3	35.438581657952035
22	16	4	32.19499307443584
22	413	5	31.79951839416512
22	962	6	29.537478809159676
22	61	7	28.31362646700553
22	120	8	27.385689947970835
22	406	9	27.04631277538668
22	547	10	26.76125980751672
23	902	1	23.7796648202929
23	28	2	22.189181672784862
23	251	3	20.502125108882314
23	1151	4	19.14273607988875
23	718	5	18.869881956482505
23	237	6	18.562720611127475
23	244	7	17.57591272237375
23	14	8	16.73004630322835
23	893	9	16.628908393135216
23	11	10	15.972514081335367
24	46	1	21.420287618705927
24	12	2	19.911918194723583
24	756	3	18.300610372746608
24	724	4	18.165636733582954
24	51	5	18.00643630146862
24	47	6	17.376202237300067
24	650	7	16.796095406185447
24	1088	8	16.594972466772358
24	102	9	16.47327015029346
24	365	10	16.465980843296776
25	215	1	35.99973023305022
25	121	2	32.9761974448299
25	277	3	30.64859162205128
25	216	4	27.396690504066093
25	134	5	26.17376451553756
25	214	6	26.14191504017539
25	798	7	24.83445288143317
25	945	8	24.591794219174467
25	11	9	24.377607930459003
25	186	10	24.356068456809098
26	96	1	42.237856605936614
26	307	2	42.18655380488722
26	145	3	41.74765397112283
26	348	4	40.218369947832045
26	1278	5	39.40126273898311
26	305	6	38.46398068922833
26	135	7	38.30141351730649
26	611	8	38.26973883697778
26	1355	9	38.22674598946542
26	629	10	37.99031086098721
27	680	1	26.10452034541408
27	1031	2	25.89816634134912
27	921	3	25.577830737548446
27	752	4	23.79199926989252
27	147	5	23.140570651118807
27	614	6	23.033617223076657
27	247	7	22.109902039921337
27	924	8	22.000353985617746
27	1035	9	21.775592182875293
27	36	10	21.75735176266862
28	251	1	23.265346628660566
28	503	2	19.400973589762376
28	36	3	18.97916775005894
28	674	4	18.643427711915155
28	758	5	17.619643095495608
28	683	6	17.280453215050578
28	250	7	17.271153132504356
28	893	8	16.811524625979782
28	921	9	16.71610553843637
28	1202	10	16.44831014197659
29	513	1	40.76018296984136
29	465	2	36.71393705626463
29	211	3	35.03073985339545
29	464	4	34.89041600773631
29	612	5	34.34150918381246
29	792	6	31.946444196530834
29	900	7	31.56047093009214
29	250	8	30.83321429523871
29	901	9	30.77204106141759
29	222	10	30.263210344114594
30	513	1	17.702356276489084
30	420	2	16.61438832386355
30	683	3	16.298307827912797
30	464	4	15.442821986434758
30	229	5	14.672444925974865
30	545	6	14.301036755203054
30	230	7	14.013519451718754
30	388	8	13.700349582430722
30	465	9	12.888225241155219
30	602	10	12.838714005308288
32	752	1	35.869701386835075
32	1186	2	24.1734574359463
32	683	3	24.005894809684726
32	250	4	23.576393675502658
32	468	5	22.784282282592606
32	921	6	22.559780993711016
32	230	7	21.292208717957656
32	134	8	20.812400815551968
32	1259	9	20.71759579386457
32	680	10	19.978799468761682
33	516	1	50.13790295310694
33	252	2	38.564815679324504
33	431	3	34.84240648658975
33	904	4	34.400761798442815
33	141	5	31.798906892956644
33	1350	6	29.045769425326977
33	1153	7	28.280835705069865
33	1163	8	26.734843229517953
33	1243	9	26.504413362586124
33	808	10	25.954729792705887
34	516	1	29.912635031192313
34	1153	2	25.705602059896925
34	1350	3	25.352905996296382
34	175	4	24.458965241403803
34	431	5	24.042673985794735
34	799	6	23.519194967975004
34	610	7	22.750061350919022
34	1155	8	21.605699484918183
34	795	9	21.513363735167665
34	1287	10	20.362246048789206
35	1208	1	20.451260579540826
35	1203	2	19.580569061801647
35	875	3	19.292231714402124
35	488	4	16.459665860473976
35	1160	5	16.278112916158413
35	1389	6	16.205055931844107
35	739	7	15.776016536151374
35	156	8	15.470689040097797
35	1189	9	14.534164809531534
35	75	10	14.522350087653994
36	274	1	25.1229322920537
36	123	2	24.90036550754935
36	1268	3	23.98006620959245
36	646	4	23.654864585661297
36	623	5	23.336140506954756
36	565	6	22.519596465287762
36	74	7	22.287626879362527
36	347	8	22.230864958100778
36	546	9	21.9239222883273
36	975	10	21.59976165837442
37	186	1	24.522452021391697
37	179	2	19.873008864348915
37	188	3	17.669560884917143
37	283	4	17.52457156977295
37	1352	5	17.2422017301931
37	655	6	16.802007565830372
37	409	7	15.958053342058163
37	147	8	15.5164563435114
37	415	9	15.436129724089378
37	461	10	15.026568926787569
38	536	1	24.46763885084453
38	1373	2	23.862512632181556
38	1238	3	23.675010692701804
38	338	4	22.64634334594963
38	976	5	22.52662787225605
38	85	6	21.81062161330093
38	186	7	21.79822093969398
38	25	8	21.575795238390366
38	1205	9	21.322402043885347
38	1211	10	20.57634965880117
39	315	1	23.799064302704334
39	1268	2	19.580105440798846
39	610	3	18.38071424384058
39	959	4	18.26394703048377
39	1154	5	17.43243820213811
39	281	6	16.530639478677312
39	1321	7	16.126070373550192
39	1257	8	15.882564158429538
39	207	9	15.853013462829168
39	37	10	14.978373650493598
40	37	1	17.81138829243543
40	17	2	16.586063960196103
40	281	3	16.530639478677312
40	536	4	16.37977121168432
40	315	5	15.170050728422787
40	1257	6	13.503478161839782
40	39	7	13.203672330864304
40	330	8	13.067332710971732
40	1158	9	13.048112116467218
40	207	10	12.91983961599547
41	289	1	46.47575000607423
41	433	2	38.70240205744851
41	288	3	28.136670074488322
41	927	4	27.774545321998666
41	520	5	27.741697874770576
41	1277	6	27.23534562944712
41	229	7	24.626018828579006
41	1152	8	23.34062892455982
41	60	9	23.049822510321757
41	1091	10	22.675422974221387
42	521	1	56.10440585015945
42	526	2	42.64753298462042
42	496	3	37.99394201317448
42	1265	4	35.79112600313445
42	683	5	35.47778414543329
42	469	6	35.31271622399812
42	503	7	34.801725392252315
42	468	8	34.532767147743556
42	569	9	33.84062082306335
42	439	10	33.173273389515735
43	469	1	31.347448258580943
43	503	2	29.7444657387189
43	903	3	28.397286470301463
43	468	4	27.57748016405653
43	521	5	26.5545189280765
43	496	6	26.32843263461483
43	1074	7	26.082945976819452
43	467	8	25.757062898807746
43	39	9	25.420766105265376
43	1248	10	24.655473680427484
44	103	1	18.670397816445487
44	1199	2	18.170611095532532
44	108	3	18.135752253506837
44	357	4	17.939259894162735
44	367	5	16.179788803457676
44	236	6	15.805767029603608
44	1031	7	15.768764591457948
44	943	8	15.684008140946446
44	42	9	15.024870494575161
44	231	10	14.710885470143968
45	123	1	29.06236227292807
45	525	2	27.358051811272922
45	84	3	25.4306068212007
45	540	4	25.411560697536284
45	274	5	25.05684516987921
45	305	6	23.847687404689392
45	353	7	23.342773600110853
45	1185	8	22.94246911826636
45	983	9	22.09861113784548
45	1002	10	21.912743487464688
46	123	1	32.900587387692745
46	983	2	32.30377901959801
46	655	3	31.27210591327475
46	353	4	31.015474825153504
46	84	5	30.9906401271003
46	274	6	29.452605410975405
46	525	7	29.374406131407365
46	1366	8	29.11744416542565
46	37	9	28.610157482381084
46	344	10	28.557931048069573
47	568	1	32.98409304745077
47	525	2	32.54193623950314
47	305	3	31.279086592482454
47	570	4	30.171098986757606
47	307	5	29.052588351611902
47	1200	6	28.971459176259202
47	25	7	27.558331645124433
47	310	8	26.847809369325738
47	180	9	24.945115526380555
47	540	10	23.506939638235213
48	526	1	24.108922963760115
48	683	2	22.37331235662189
48	521	3	17.741100491635336
48	797	4	17.413206889944988
48	440	5	17.012007161960646
48	633	6	16.906600925509537
48	1300	7	16.759808219163048
48	222	8	16.136768044297618
48	569	9	15.550249067585913
48	334	10	14.954349248436657
49	1235	1	36.449400848681684
49	1370	2	36.29936893476981
49	349	3	34.15826601583814
